"동별(1)",동별(2),동별(3),2015,2016,2017,2018,2019,2020,2021
"합계",중랑구,신내1동,-,21,20,22,23,...,...
"합계",중랑구,신내2동,-,9,9,9,9,...,...
"합계",중랑구,면목본동,-,7,7,7,7,...,...
"합계",중랑구,면목3.8동,-,9,9,9,9,...,...
"합계",중랑구,망우본동,-,12,14,15,15,...,...
"합계",성북구,소계,173,172,176,181,190,190,184
"합계",성북구,돈암1동,-,8,8,9,9,9,...
"합계",성북구,돈암2동,-,9,9,10,9,9,...
"합계",성북구,안암동,-,5,6,6,7,7,...
"합계",성북구,보문동,-,7,8,8,8,8,...
"합계",성북구,정릉1동,-,10,10,11,12,13,...
"합계",성북구,정릉2동,-,13,14,14,15,15,...
"합계",성북구,정릉3동,-,5,5,5,5,5,...
"합계",성북구,정릉4동,-,13,13,13,13,13,...
"합계",성북구,길음1동,-,16,16,16,16,16,...
"합계",성북구,길음2동,-,6,6,6,6,6,...
"합계",성북구,월곡1동,-,9,9,9,10,10,...
"합계",성북구,월곡2동,-,10,10,10,11,11,...
"합계",성북구,장위1동,-,6,6,7,7,7,...
"합계",성북구,장위2동,-,3,3,3,3,3,...
"합계",성북구,장위3동,-,5,5,6,7,7,...
"합계",성북구,성북동,-,6,7,6,7,6,...
"합계",성북구,삼선동,-,9,9,9,10,10,...
"합계",성북구,동선동,-,6,6,6,7,6,...
"합계",성북구,종암동,-,18,18,19,20,20,...
"합계",성북구,석관동,-,8,8,8,8,9,...
"합계",강북구,소계,111,113,114,115,117,118,118
"합계",강북구,번1동,-,7,7,7,7,7,...
"합계",강북구,번2동,-,9,10,10,11,11,...
"합계",강북구,번3동,-,12,12,12,12,12,...
"합계",강북구,수유1동,-,6,6,6,6,6,...
"합계",강북구,수유2동,-,9,9,9,9,9,...
"합계",강북구,수유3동,-,4,4,4,4,4,...
"합계",강북구,삼양동,-,16,16,15,15,15,...
"합계",강북구,미아동,-,10,9,10,10,10,...
"합계",강북구,송중동,-,7,7,8,8,9,...
"합계",강북구,송천동,-,10,10,10,11,11,...
"합계",강북구,삼각산동,-,8,8,8,8,8,...
"합계",강북구,우이동,-,6,7,7,7,7,...
"합계",강북구,인수동,-,9,9,9,9,9,...
