"구분별(1)",구분별(2),2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018
"구분별(1)",구분별(2),종합,소득창출 활동,취미/교양 활동,종교활동,자원봉사,자기계발,손자녀 양육,종합,소득창출 활동,취미/교양 활동,종교활동,자원봉사,손자녀 양육,종합,소득창출 활동,취미/교양 활동,종교활동,자원봉사,손자녀 양육
"지역소분류",중구,5.85,6.35,6.88,5.59,5.68,5.96,4.65,5.69,6.41,6.79,5.12,5.62,4.52,5.55,6.22,7.37,5.18,4.91,4.07
"지역소분류",용산구,5.69,6.35,6.43,5.46,5.53,5.62,4.75,5.54,5.90,6.54,5.16,5.46,4.62,5.85,6.82,6.61,5.79,5.40,4.62
"지역소분류",성동구,5.77,6.23,6.60,5.52,5.85,5.81,4.62,5.64,6.01,6.53,5.27,5.51,4.89,5.56,6.28,6.71,5.16,5.48,4.18
"지역소분류",광진구,5.67,6.26,6.41,5.32,5.49,5.72,4.81,5.86,6.48,6.97,5.52,5.48,4.82,5.56,5.91,6.82,5.45,5.38,4.25
"지역소분류",동대문구,5.65,6.16,6.36,5.32,5.66,5.61,4.78,5.69,6.50,6.95,5.38,5.31,4.31,5.37,5.79,6.84,4.82,5.09,4.30
"지역소분류",중랑구,5.62,6.21,6.35,5.41,5.58,5.46,4.74,5.68,6.37,6.76,5.17,5.53,4.57,5.66,6.44,6.77,4.92,5.63,4.53
"지역소분류",성북구,5.72,6.23,6.37,5.41,5.75,5.64,4.90,5.46,6.08,6.35,4.91,5.04,4.91,5.78,6.15,6.83,5.68,5.67,4.57
"지역소분류",강북구,5.61,6.20,6.53,5.16,5.58,5.55,4.65,5.75,6.01,6.77,5.28,5.70,5.00,5.70,7.08,6.89,5.11,5.12,4.29
"지역소분류",도봉구,5.78,6.48,6.56,5.40,5.58,5.80,4.87,5.91,6.39,6.84,5.58,5.81,4.95,5.55,6.38,6.65,5.07,5.30,4.34
"지역소분류",노원구,5.72,6.26,6.66,5.38,5.68,5.73,4.59,5.62,6.13,6.55,5.27,5.77,4.38,5.69,6.28,6.94,5.28,5.70,4.27
"지역소분류",은평구,5.53,6.00,6.52,5.06,5.50,5.60,4.52,5.70,6.30,6.71,5.36,5.53,4.62,5.50,6.33,6.69,5.06,5.16,4.26
"지역소분류",서대문구,5.61,6.25,6.66,5.10,5.39,5.70,4.58,5.52,6.04,6.59,5.15,5.12,4.71,5.36,6.01,6.77,4.85,4.98,4.17
"지역소분류",마포구,5.57,6.21,6.64,5.05,5.34,5.72,4.45,5.67,5.99,6.90,5.25,5.34,4.86,5.75,6.66,7.20,4.86,5.55,4.47
"지역소분류",양천구,5.74,6.15,6.75,5.24,5.68,5.94,4.69,5.81,6.48,6.26,5.61,5.91,4.80,5.81,6.01,6.42,5.74,5.88,5.01
"지역소분류",강서구,5.65,5.75,6.61,5.48,5.67,5.70,4.70,5.79,6.44,6.78,5.46,5.73,4.54,5.37,6.03,6.38,4.86,5.33,4.26
"지역소분류",구로구,5.77,6.05,6.75,5.56,5.75,5.75,4.78,5.60,6.12,6.61,5.25,5.25,4.77,5.48,6.61,6.84,4.93,4.91,4.10
"지역소분류",금천구,5.62,5.98,6.66,5.32,5.66,5.49,4.62,5.79,6.40,6.96,5.32,5.56,4.70,5.71,6.96,6.99,5.29,5.19,4.11
"지역소분류",영등포구,5.82,6.24,6.79,5.51,5.75,5.90,4.73,5.70,6.21,6.59,5.40,5.68,4.61,5.85,6.30,6.58,5.67,5.84,4.86
"지역소분류",동작구,5.84,6.19,6.71,5.57,5.73,6.04,4.81,5.47,5.85,6.26,5.62,5.25,4.36,5.60,5.85,7.26,5.52,5.22,4.13
"지역소분류",관악구,5.93,6.41,6.91,5.71,5.78,6.06,4.73,5.77,6.56,6.66,5.42,5.81,4.41,5.80,6.66,7.11,5.41,5.63,4.16
"지역소분류",서초구,5.71,6.02,6.67,5.52,5.65,5.81,4.59,5.77,6.29,6.94,5.33,5.78,4.50,6.02,6.11,7.16,6.08,5.84,4.90
"지역소분류",강남구,5.87,6.33,6.80,5.73,5.72,5.91,4.76,5.63,6.20,6.32,5.43,5.67,4.55,5.81,6.51,6.42,5.61,5.87,4.67
"지역소분류",송파구,5.88,6.42,6.71,5.47,5.88,5.95,4.83,5.48,5.87,6.52,5.28,5.28,4.42,5.48,5.76,6.48,5.31,5.69,4.17
"지역소분류",강동구,5.85,6.44,6.65,5.59,5.66,5.87,4.85,5.57,5.98,6.54,5.21,5.56,4.58,5.45,6.05,6.53,4.79,5.04,4.
